"Title","Concept","Glossary term » Taxonomy term » Acronym (indexed field)","Definition","Deliverable(s)","Glossary term » Taxonomy term » Alternative labels (indexed field)","term_id","node_id"
"ramsar site_ldr","ramsar site","","A wetland site designated of international importance especially as Waterfowl Habitat under the Ramsar Convention, an intergovernmental environment treaty established in 1975 by UNESCO, coming into force in 1975. Ramsar site refers to wetland of international significance in terms of ecology, botany, zoology, limnology or hydrology. Such a site meets at least one of the criteria of identifying wetlands of international importance set by Ramsar Convention and is designated by appropriate national authority to be added to Ramsar list.","Land degradation and restoration assessment",NA,25295,41761
"ramsar site_afa","ramsar site","","A Ramsar site is a wetland site designated of international importance especially as Waterfowl Habitat under the Ramsar Convention, an intergovernmental environment treaty established in 1975 by UNESCO, coming into force in 1975. Ramsar site refers to a wetland of international significance in terms of ecology, botany, zoology, limnology or hydrology. Such site meets at least one of the criteria of Identifying Wetlands of International Importance set by Ramsar Convention and is designated by appropriate national authority to be added to Ramsar list.","Africa assessment",NA,25295,41762
"ramsar site_eca_ama","ramsar site","","A Ramsar site is a wetland site designated of international importance especially as Waterfowl Habitat under the Ramsar Convention, an intergovernmental environment treaty established in 1975 by UNESCO, coming into force in 1975. Ramsar site refers to wetland of international significance in terms of ecology, botany, zoology, limnology or hydrology. Such a site meets at least one of the criteria of identifying Wetlands of International Importance set by Ramsar Convention and is designated by appropriate national authority to be added to Ramsar list.","Europe and Central Asia assessment, Americas assessment",NA,25295,16903
"range_ias","range","","“the current limits of distribution of a species, accounting for all known, inferred or projected sites of occurrence”","Invasive alien species assessment",NA,28679,69614
"range shift_ppa","range shift","","A change in the distributional limits of the native geographical range of a species, most commonly driven human-related factors (e.g. climate change).","Pollination assessment",NA,25296,41763
"rangeland_ldr_apa_sua_ga1_ama_eca","rangeland","","Natural grasslands used for livestock grazing.","Land degradation and restoration assessment, Asia-Pacific assessment, Sustainable use assessment, Global assessment (1st work programme), Americas assessment, Europe and Central Asia assessment",NA,21739,16401
"re-wilding_ga1","re-wilding","","The preservation of land with the goal of restoring natural ecosystem processes and reducing human control of landscapes (Gillson et al., 2011) to allow declining populations to rebound.","Global assessment (1st work programme)",NA,25322,41809
"reactive nitrogen_ga1","reactive nitrogen","","All biologically, photochemically, and/or radiatively active forms of nitrogen; a diverse pool of nitrogenous compounds that includes organic compounds (e.g. urea, amines, proteins, amides), mineral nitrogen forms, such as nitrates and ammonium, as well as gases that are chemically active in the troposphere (NOx, ammonia, nitrous oxide) and contribute to air pollution and the greenhouse effect.","Global assessment (1st work programme)",NA,25297,41764
"reality_ldr","reality","","Current state of biodiversity and ecosystem functions independent of human knowledge and perceptions and ecosystem services (Nature in IPBES conceptual framework). See also Perceptions; Concepts”; Worldviews”.","Land degradation and restoration assessment",NA,25298,41765
"realm (biogeography)_nxs","realm (biogeography)","","The broadest biogeographical division of the Earth's surface commonly separated into terrestrial, freshwater and marine realms (Source: this assessment, Chapter 1).","Nexus assessment",NA,34120,88397
"rebound effect_ga1","rebound effect","","The pattern by which resource users tend to compensate for improved efficiency by shifting behaviour towards greater consumption, which undermines apparent gains. For example, an increased fuel saving of motor vehicle tends to be compensated by spending more money on other resources or by driving more.","Global assessment (1st work programme)",NA,25299,41766
"rebound effect_sua","rebound effect","","The pattern by which resource users tend to compensate for improved efficiency by shifting behavior towards greater consumption, which undermines apparent gains. For example, an increased fuel saving of motor vehicle tends to be compensated by spending more money on other resources or by driving more.","Sustainable use assessment",NA,25299,41767
"rebound effects_tca","rebound effects","","Counter-intuitive causal mechanisms whereby improvements in energy efficiency result not in lower but higher consumption rates (Font Vivanco et al., 2016).","Transformative change assessment",NA,34121,88204
"reciprocity_tca","reciprocity","","In this assessment, reciprocity refers to giving back to the Earth in equal measure for what is taken. This definition is rooted in an understanding that the Earth is populated by non-human beings deserving of respect and that balance in ecological systems arises from cycles of giving and taking. Reciprocity among different parts of the living Earth produces equilibrium, in which all life can flourish. This reciprocity includes healing damages that have been done and being partners in renewal (Kimmerer, 2014).","Transformative change assessment",NA,34122,88205
"reclamation_ldr","reclamation","","The stabilization of the terrain, assurance of public safety, aesthetic improvement, and usually a return of the land to what, within the regional context, is considered to be a useful purpose.","Land degradation and restoration assessment",NA,25300,41768
"recognition_va","recognition","","In social-environmental justice, recognition is about the respect for (community) ways of life, local knowledge, and cultural difference.","Values assessment",NA,25301,41769
"recreational uses (of wild species)_sua","recreational uses (of wild species)","","Recreational uses are defined as uses of wild species in which enjoyment is considered a primary value.","Sustainable use assessment",NA,25302,41770
"recreational values_apa","recreational values","","Monetary or non-monetary worth given to the human recreational use of ecosystems, areas or other natural phenomena.","Asia-Pacific assessment",NA,25303,41771
"recruitment_ga1","recruitment","","The influx of new members into a population by reproduction or immigration (IUCN, 2012a).","Global assessment (1st work programme)",NA,25304,41772
"recruitment_sua","recruitment","","The influx of new members into a population by reproduction or immigration.","Sustainable use assessment",NA,25304,41773
"reduced impact logging_ga1","reduced impact logging","RIL","The intensively planned and carefully controlled implementation of timber harvesting operations to minimize the environmental impact on forest stands and soils (FAO, 2018a).","Global assessment (1st work programme)",NA,25305,41774
"reduced impact logging_sua","reduced impact logging","RIL","The intensively planned and carefully controlled implementation of timber harvesting operations to minimize the environmental impact on forest stands and soils.","Sustainable use assessment",NA,25305,41775
"reducing emissions from deforestation and forest degradation_eca_ldr","reducing emissions from deforestation and forest degradation","REDD+","Reducing emissions from deforestation and forest degradation (REDD+) is a mechanism developed by Parties to the United Nations Framework Convention on Climate Change (UNFCCC). It creates a financial value for the carbon stored in forests by offering incentives for developing countries to reduce emissions from forested lands and invest in low-carbon paths to sustainable development. Developing countries would receive results-based payments for results- based actions. REDD+ goes beyond simply deforestation and forest degradation, and includes the role of conservation, sustainable management of forests and enhancement of forest carbon stocks.","Europe and Central Asia assessment, Land degradation and restoration assessment",NA,25306,41777
"reducing emissions from deforestation and forest degradation_apa","reducing emissions from deforestation and forest degradation","REDD+","A global mechanism designed to offer positive incentives to reduce emissions from deforestation and forest degradation, and to promote the conservation, management and enhancement of forest stocks in developing countries (http://theredddesk. org/encyclopaedia/reducing-emissions- deforestation-and-forest-degradation-redd- and-role-conservation). REDD-plus stands for countries’ efforts to reduce emissions from deforestation and forest degradation, and foster conservation, sustainable management of forests, and enhancement of forest carbon stocks.","Asia-Pacific assessment",NA,25306,41778
"reducing emissions from deforestation and forest degradation_ama_sua","reducing emissions from deforestation and forest degradation","REDD+","Mechanism developed by Parties to the United Nations Framework Convention on Climate Change (UNFCCC). It creates a financial value for the carbon stored in forests by offering incentives for developing countries to reduce emissions from forested lands and invest in low-carbon paths to sustainable development. Developing countries would receive results-based payments for results-based actions. REDD+ goes beyond simply deforestation and forest degradation, and includes the role of conservation, sustainable management of forests and enhancement of forest carbon stocks.","Americas assessment",NA,25306,16904
"reducing emissions from deforestation and forest degradation (redd+)_nxs","reducing emissions from deforestation and forest degradation","REDD+","Mechanism developed by Parties to the United Nations Framework Convention on Climate Change (UNFCCC), which creates a financial value for the carbon stored in forests by offering incentives for developing countries to reduce emissions from forested lands and invest in low-carbon paths to sustainable development. Developing countries would receive results-based payments for results-based actions. REDD+ goes beyond simply deforestation and forest degradation, and includes the role of conservation, sustainable management of forests and enhancement of forest carbon stocks (IPBES, 2019a).","Nexus assessment",NA,34123,88398
"reflexivity_tca","reflexivity","","That which takes account of itself or a person's self. Mental operations that are turned or directed back on the mind itself (Holland, 1999; Salzman, 2002).","Transformative change assessment",NA,34124,88399
"reforestation_sua","reforestation","","Planting of forests on lands that have previously contained forests but that have been converted to some other use.","Sustainable use assessment",NA,25307,41779
"reforestation_ga1_ldr","reforestation","","Intentional replanting of trees and re- establishing a forest in areas that have been deforested.","Global assessment (1st work programme), Land degradation and restoration assessment",NA,25307,41780
"reforestation_nxs","reforestation","","Conversion to forest of land that has previously contained forests but that has been converted to some other use (IPCC, 2022a). The re-establishment of the forest can be done naturally or artificially, maintains the same forest type and is established promptly after the forest removal (IUFRO, n.d.).","Nexus assessment",NA,25307,88207
"reformist responses (in the context of biodiversity)_tca","reformist responses (in the context of biodiversity)","","Interventions that work through existing systems to modify current structures and practices, such as corporate behaviour, to ameliorate impacts on biodiversity while leaving underlying causes of biodiversity loss and nature's decline intact (Acosta, 2013; Santika et al., 2024).","Transformative change assessment",NA,34125,88400
"regeneration_tca","regeneration","","Dynamic processes of renewal or re-creation of desired outcomes, often after disturbances. Regeneration involves deepening relational values and responsibilities that nourish human-nature relationships by reviving local culture and nature. It is considered distinct from restoration, unless the system resulting from restoration is, at least to an extent, dynamically self-perpetuating (Fischer et al., 2024; Gordon et al., 2023).","Transformative change assessment",NA,34126,88209
"regenerative agriculture_tca","regenerative agriculture","","An approach to farming and land management that focuses on restoring and improving the health of ecosystems. The goal is not only to sustainably produce food but also to regenerate the soil, water and biodiversity, ultimately creating a more resilient and sustainable agricultural system (Tittonell et al., 2022).","Transformative change assessment",NA,34127,88210
"regime_ga1_sua","regime","","A long-term qualitative behavior where the system’s dynamics tend to stabilize, at different spatial and temporal scales in marine, terrestrial and polar systems (Rocha et al., 2015).","Global assessment (1st work programme), Sustainable use assessment",NA,25308,41781
"regime shift_ga1_scm","regime shift","","Persistent change in systems structure and function, which can be abrupt and difficult to reverse. Regime shifts in socio-ecological systems can have substantial impacts on ecosystem services.","Global assessment (1st work programme), Scenarios and models assessment",NA,25309,41782
"regime shift_ama_sua_ldr_eca","regime shift","","Substantial reorganization in system structure, functions and feedbacks that often occurs abruptly and persists over time.","Americas assessment, Sustainable use assessment, Land degradation and restoration assessment, Europe and Central Asia assessment",NA,25309,16905
"regional_ppa","regional","","adj. Pertaining to an area, especially part of a country or the world having definable characteristics but not always fixed boundaries.","Pollination assessment",NA,25310,41783
"regional cooperation platform_apa","regional cooperation platform","","Initiatives or other efforts to provide means by which organizations or individuals with a global region (such as the Asia-Pacific) can work together towards a common or mutual aim, or for common or mutual benefit. Examples include the Association of Southeast Asian Nations (ASEAN) and the Shanghai Cooperation Organization (SCO).","Asia-Pacific assessment",NA,25311,41784
"rehabilitation_ldr","rehabilitation","","Restoration activities that may fall short of fully restoring a biotic community to its pre-degradation state, including natural regeneration and emergent ecosystems.","Land degradation and restoration assessment",NA,21742,41785
"rehabilitation_eca","rehabilitation","","Restoration activities that move a site towards a natural state baseline in a limited number of components (i.e. soil, water, and/or biodiversity), including natural regeneration, conservation agriculture, and emergent ecosystems.","Europe and Central Asia assessment",NA,21742,41786
"rehabilitation_sua_ama_apa","rehabilitation","","Rehabilitation refers to restoration activities that move a site towards a natural state baseline in a limited number of components (i.e. soil, water, and/or biodiversity), including natural regeneration, conservation agriculture, and emergent ecosystems.","Sustainable use assessment, Americas assessment, Asia-Pacific assessment",NA,21742,16402
"relational value_apa_ga1_ldr_scm_eca","relational value","","The values that contribute to desirable relationships, such as those among people and between people and nature, as in Living in harmony with nature.","Asia-Pacific assessment, Global assessment (1st work programme), Land degradation and restoration assessment, Scenarios and models assessment, Europe and Central Asia assessment",NA,21743,41787
"relational value_ama_afa","relational value","","The values that contribute to desirable relationships, such as those among people or societies, and between people and nature, as in Living in harmony with nature.","Americas assessment, Africa assessment",NA,21743,41788
"relational value_ama_eca","relational value","","See values.","Americas assessment, Europe and Central Asia assessment",NA,21743,41789
"relational value_va","relational value","","Relational values refer to the importance of desirable, meaningful, and often reciprocal relationships - beyond means to an end - between humans and nature, and among humans (including across generations) through nature (e.g. sense of place, spirituality, responsibility, care, reciprocity, stewardship) (section 2.2.4.3).","Values assessment",NA,21743,41790
"relational value_sua_eca","relational value","","See ""values"".","Europe and Central Asia assessment, Sustainable use assessment",NA,21743,88211
"relational values_tca","relational values","","The importance of desirable, meaningful and often reciprocal relationships - beyond means to an end - between humans and nature and among humans (including across generations) through nature - e.g., sense of place, spirituality, responsibility, care, reciprocity, stewardship (IPBES, 2021).","Transformative change assessment",NA,34128,88212
"relations of domination_tca","relations of domination","","In this assessment, a way of relating that is considered both an underlying cause and a barrier to transformative change. It consists of seven dimensions: i) categorizing nature and people as different elements with different rights and power; ii) stratifying and separating different groups in a way that promotes subordination; iii) reducing people and ecologies to singular, often standardized dimensions that lend themselves to management; iv) quantifying and aggregating values in a manner that promotes v) technocratic approaches to conservation and other relationships with biodiversity which in turn can be used to vi) justify the appropriation and extraction of resources in a manner that vii) concentrates and accumulates these on behalf of the most privileged interests (chapter 4).","Transformative change assessment",NA,34129,88401
"remediation_eca_ama_ldr_ga1_ga1","remediation","","Any action taken to rehabilitate ecosystems.","Europe and Central Asia assessment, Americas assessment, Land degradation and restoration assessment, Global assessment (1st work programme), Global assessment (1st work programme)",NA,21744,16906
"remote sensing_sua","remote sensing","","Methods for gathering data on a large or landscape scale which do not involve on-the ground measurement, especially satellite photographs and aerial photographs; often used in conjunction with Geographic Information Systems.","Sustainable use assessment",NA,25312,41791
"remote sensing_ama","remote sensing","","Remote sensing is the process of detecting and monitoring the physical characteristics of an area by measuring its reflected and emitted radiation at a distance from the targeted area. Special cameras collect remotely sensed imagesof the Earth, which help researchers sense things about the Earth.","Americas assessment",NA,25312,41793
"remote sensing_ga1","remote sensing","","Methods for gathering data from a distance. In environmental studies and in monitoring, it usually refers to the use of satellite or airborne sensors to examine conditions and changes over large regions or landscape-scale analysis; often used in conjunction with Geographic Information Systems and often involves validation through on-the-ground activities.","Global assessment (1st work programme)",NA,25312,88446
"renewable energy_ldr","renewable energy","","Energy derived from natural processes (e.g. sunlight and wind) that are replenished at a faster rate than they are consumed. Solar, wind, geothermal, hydro, and some forms of biomass are common sources of renewable energy.","Land degradation and restoration assessment",NA,25313,41794
"renewable energy_nxs","renewable energy","","Any form of energy from solar, geophysical or biological sources that is replenished by natural processes at a rate that equals or exceeds its rate of use (IPCC, 2014).","Nexus assessment",NA,25313,88214
"replexity_ldr","replexity","","Rapid and complex change.","Land degradation and restoration assessment",NA,25314,41795
"report_apa_ama","report","","Reports shall mean the main deliverables of the Platform, including assessment reports and synthesis reports, their summaries for policymakers and technical summaries, technical papers and technical guidelines.","Asia-Pacific assessment, Americas assessment",NA,21745,16404
"representation concentration pathway_ga1","representation concentration pathway","RCPs","Scenarios that include time series of emissions and concentrations of the full suite of greenhouse gases (GHGs) and aerosols and chemically active gases, as well as land use/land cover. (IPCC, 2014).","Global assessment (1st work programme)",NA,25315,41796
"representation concentration pathway_ldr","representation concentration pathway","RCPs","Scenarios that include time series of emissions and concentrations of the full suite of greenhouse gases (GHGs) and aerosols and chemically active gases, as well as land use/land cover. The word representative signifies that each RCP provides only one of many possible scenarios that would lead to the specific radiative forcing characteristics. The term pathway emphasizes that not only the long-term concentration levels are of interest, but also the trajectory taken over time to reach that outcome. RCPs usually refer to the portion of the concentration pathway extending up to 2100, for which Integrated Assessment Models produced corresponding emission scenarios.","Land degradation and restoration assessment",NA,25315,41797
"representative concentration pathways (rcps)_nxs","representative concentration pathways","RCPs","Scenarios that include time series of emissions and concentrations of the full suite of greenhouse gases and aerosols and chemically active gases, as well as land use/land cover (IPCC, 2014). See also Shared socioeconomic pathways.","Nexus assessment",NA,34130,88215
"resilience_ldr_ga1_nxs_ama_apa_afa_eca","resilience","","The level of disturbance that an ecosystem or society can undergo without crossing a threshold to a situation with different structure or outputs. Resilience depends on factors such as ecological dynamics as well as the organizational and institutional capacity to understand, manage and respond to these dynamics.","Land degradation and restoration assessment",NA,21746,41798
"resilience_sua","resilience","","The capacity of a system to absorb disturbance and reorganize while undergoing change so as to still retain essentially the same function, structure, identity, and feedbacks.","Sustainable use assessment",NA,21746,88216
"resilience_ias","resilience","","for the purpose of this assessment, the ability of an ecosystem to adapt, withstand and respond to alien species invasions, recover rapidly from their impacts and continue to develop","Invasive alien species assessment",NA,21746,69615
"resilience (of socio-ecological systems)_scm","resilience (of socio-ecological systems)","","The capacity of a socio- ecological system to absorb or withstand perturbations and other stressors such that the system remains within the same regime, essentially maintaining its structure and functions.","Scenarios and models assessment",NA,25316,41800
"resolution (spatial or temporal)_scm","resolution (spatial or temporal)","","see spatial scale and temporal scale.","Scenarios and models assessment",NA,21747,41801
"resolution (spatial or temporal)_apa_ama_eca","resolution (spatial or temporal)","","See scale.","Asia-Pacific assessment, Americas assessment, Europe and Central Asia assessment",NA,21747,41802
"resolution (spatial or temporal)_sua","resolution (spatial or temporal)","","See “scales”.","Sustainable use assessment",NA,21747,16406
"respect (towards nature)_va","respect (towards nature)","","This respect is expressed in/identified through ceremonies, rituals, actions in sacred sites whose purpose is to renew a sense of thankfulness and reverence/deep respect to the land or the sea (terrestrial or marine landscape) or to their components.","Values assessment",NA,25317,41803
"response option_nxs","response option","","In the scope of this assessment, defined as actions or policies available to a range of actors that address specific challenges or opportunities in the governance and management of one or more elements of the nexus, with the goal of achieving positive and equitable outcomes across multiple nexus elements. Response options can include voluntary or mandatory policies, strategies, measures and interventions intended to change nexus elements, interlinkages between them and direct or indirect drivers shaping them. The nexus assessment focuses on actions, policies and enablers as important response options. Implementation of response options is dependent on national and local circumstances (Source: this assessment, Chapter 1). See also Policy and socio-political options.","Nexus assessment",NA,34131,88217
"response options_tca","response options","","The diverse range of human actions to address specific issues, needs, objectives, opportunities, or problems in the governance and management of the nexus that account for a diversity of worldviews, behaviours, norms and values. Response options can encompass combinations of voluntary or mandatory policies, strategies, measures and interventions that are intended, designed and/or implemented to change nexus elements and interlinkages between nexus elements directly and those that modify direct or indirect drivers shaping the nexus. The response options presented in this assessment are a non-exhaustive list, with implementation dependent on national and local circumstances (chapters 1 and 4).","Transformative change assessment",NA,34132,88218
"responsibility_va","responsibility","","This is about integrity of ancestral territory leadership in caring for nature. Actions and behaviours that minimize or prohibit exploitative use of materials, no waste resources philosophies, awareness about sustainability for the future generations; and preservation of cultural knowledge (ancestor heritage). IPLCs and cultural identities are strongly connected to their lands (and seascapes). Their values often emerge in relation to their context and can become visible through issues related to the integrity of ancestral territory, leadership in caring for nature, actions and behaviours that minimize or prohibit exploitative use of materials within their lands or in other geographical terrains. A philosophy of zero waste of resources is enacted while thinking about the health and the future of the land (and sea), awareness about sustainability of the land (and sea) for the future generations; and preservation of cultural knowledge (ancestral heritage).","Values assessment",NA,25318,41804
"restoration_ldr_ga1_tca","restoration","","Any intentional activity that initiates or accelerates the recovery of an ecosystem from a degraded state. Active restoration includes a range of human interventions aimed at influencing and accelerating natural successional processes to recover biodiversity ecosystem service provision. Passive restoration includes reliance primarily on natural process of ecological succession to restore degraded ecosystems, but may include measures to protect a site from processes that currently prevent natural recovery (e.g. protection of degraded forests from overgrazing by livestock or unintentional human-induced fire).","Land degradation and restoration assessment",NA,21748,41805
"restoration_afa_eca_apa","restoration","","Any intentional activities that initiates or accelerates the recovery of an ecosystem from a degraded state.","Africa assessment, Europe and Central Asia assessment, Asia-Pacific assessment",NA,21748,16407
"restoration_sua","restoration","","Any intentional activities that initiate or accelerate the recovery of an ecosystem from a degraded state.","Sustainable use assessment",NA,21748,88219
"restoration_ias","restoration","","any intentional activity that initiates or accelerates the recovery of an ecosystem from a degraded state (IPBES glossary). More specifically, in the context of invasive alien species management, it refers to the process of assisting the recovery of a degraded, damaged, or destroyed ecosystem, as a consequence of biological invasions, to reflect values regarded as inherent in the ecosystem and to provide goods and services that people value","Invasive alien species assessment",NA,21748,69616
"restore_ppa","restore","","vb. To put back into the previous condition.","Pollination assessment",NA,25319,41806
"retributive justice_va","retributive justice","","Polluter pays principle, “Responsibility","Values assessment",NA,25320,41807
"rewilding_ldr","rewilding","","Rewilding ensures natural processes and wild species play a much more prominent role in the land-and seascapes, meaning that after initial support, nature is allowed to take more care of itself. Rewilding helps landscapes become wilder, whilst also providing opportunities for modern society to reconnect with such wilder places for the benefits of all life.","Land degradation and restoration assessment",NA,25321,41808
"rewilding_nxs","rewilding","","The preservation of land with the goal of restoring natural ecosystem processes and reducing human control of landscapes (Gillson et al., 2011).","Nexus assessment",NA,25321,88220
"richness_apa","richness","","Ecological diversity of organisms, including genetic or taxonomic diversity (q.v. Biodiversity).","Asia-Pacific assessment",NA,21749,41810
"richness_sua_eca_ama_afa","richness","","The number of biological entities (species, genotypes, etc.) within a given sample. Sometimes used as synonym of species diversity.","Sustainable use assessment, Europe and Central Asia assessment, Americas assessment, Africa assessment",NA,21749,16408
"richness (biodiversity)_ga1","richness (biodiversity)","","The number of distinct biological entities (typically species, but also genotypes, taxonomic genera or families, etc.) within a given sample, community, or area (Millenium Ecosystem Assessment, 2005).","Global assessment (1st work programme)",NA,25323,41811
"richness (species richness)_ppa","richness (species richness)","","Ecological diversity of organisms and may be genetic to taxonomic (q.v. Biodiversity).","Pollination assessment",NA,25324,41812
"rightholder_va","rightholder","","A group of people (a community and its individual members), with a common identity and a shared set of rules, who rightfully has title over their territory and the natural resources belonging to it. Being a right holder implies that the group’s wellbeing is promoted by the right, and that the group (and its individual members) have the capacity to exercise their self-determination related to the given territory. From an Indigenous perspective, Right holder refers to the collective rights and entitlements of Indigenous peoples, a group of people, and a community including all individual members, with a shared cosmovision/worldview, identity, beliefs, values, and ethics. They have inherent collective rights over their territories and natural resources. Implicit in having a right holder status implies that the holder of it promotes the group's well-being and can exercise their self-determination related to the given territory.","Values assessment",NA,25325,41813
"rights based approach_apa_ldr","rights based approach","","A conceptual framework for the process of human development that is normatively based on international human rights standards and operationally directed to promoting and protecting human rights.","Asia-Pacific assessment, Land degradation and restoration assessment",NA,25326,41814
"rights based approach_ama","rights based approach","","Approaches that consider international human rights law as a coherent system of principles and rules in the field of development, and uses it as a broad guide to conducting the cooperation and aid process; social participation in that process; the obligations of donor and recipient governments; the method of evaluating aid; and the accountability mechanisms that need to be established at the local and international levels.","Americas assessment",NA,25326,41815
"rights-based and customary instrument_sua","rights-based and customary instrument","","see “Policy instruments”.","Sustainable use assessment",NA,25327,41816
"rights-based instruments and customary norm_eca","rights-based instruments and customary norm","","Synergizing rights and norms for the conservation and protection of systems of Mother Earth can foster complementarity with human well-being. International and national human rights instruments whether binding or non-binding can be creatively interpreted to fit socio-ecological systems and foster resilience. Strengthening of collective rights, customary norms and institutions of indigenous peoples and local communities, can promote adaptive governance including the equitable and fair management of natural resources.","Europe and Central Asia assessment",NA,25328,41817
"risk_nxs","risk","","The potential for adverse consequences for human or ecological systems, recognizing the diversity of values and objectives associated with such systems. Relevant adverse consequences include those on lives, livelihoods, health and well-being, economic, social and cultural assets and investments, infrastructure, services (including ecosystem services), ecosystems and species (IPCC, 2022a).","Nexus assessment",NA,28680,88221
"risk_ias","risk","","probability of the occurrence of a particular adverse event at a specific time and the magnitude of the consequent damage caused, depending on various factors such as exposure to the hazard, the frequency of exposure and the severity of any consequent damage done (FAO, 2011b). The term risk is regarded as a product of three factors: Exposure x Likelihood x Consequence (Kinney & Wiruth, 1976). Exposure results from the introductions, establishment and spread of an alien species, whereas Likelihood is the probability of an alien species affecting nature, nature’s contributions to people, good quality of life and/or the economy, and Consequence is the magnitude of impacts if an introduction event occurs","Invasive alien species assessment",NA,28680,69617
"ritual uses (of wild species)_sua","ritual uses (of wild species)","","See “Ceremonial uses”.","Sustainable use assessment",NA,25329,41818
"rotational grazing_ldr","rotational grazing","","A grazing scheme where animals are moved from one grazing unit (paddock) in the same group of grazing units to another without regard to specific graze: rest periods or levels of plant defoliation. cf. grazing system.","Land degradation and restoration assessment",NA,25330,41819
"roundwood (industrial)_sua","roundwood (industrial)","","Industrial round wood is defined as all roundwood used for any purpose other than energy. It comprises pulpwood, sawlogs and veneer logs.","Sustainable use assessment",NA,25331,41820
"route of invasion_ama","route of invasion","","The geographic path over which a species is transported from the donor area (origin; may be defined as Last Port of Call) to the recipient area (destination or target), which may include one or more corridors.","Americas assessment",NA,25332,41821
"rubin causal model_ldr","rubin causal model","RCM","Also known as the Neyman-Rubin causal model, is an approach to the statistical analysis of cause and effect based on the framework of potential outcomes, named after Donald Rubin.","Land degradation and restoration assessment",NA,25333,41822
"rules and regulations_sua","rules and regulations","","Set of rules to govern the work and decision making of its formal settings.","Sustainable use assessment",NA,25334,41823
"rural development_sua","rural development","","Rural development is the process of improving the opportunities and well-being of rural people. It is a process of change in the characteristics of rural societies. In addition to agricultural development, it involves human development and social and environment objectives, as opposed to just economic ones. Therefore, rural development encompasses health, education, and other social services. It also uses a multisector approach for promoting agriculture, extracting minerals, tourism, recreation, and niche manufacturing.","Sustainable use assessment",NA,25335,41824
"sacred grove_ga1","sacred grove","","A particular type of sacred natural sites represented by patches of forest revered as sacred (Bhagwat & Rutte, 2006). Sacred groves may be revered e.g. as burial grounds (Mgumia & Oba, 2003) or sites of ancestral or deity worship (Ramakrishnan et al., 1998). There are locally-established rules that regulate how sacred groves can be used (Hughes & Chandran, 1998). Observation of those rules often contributes to the biodiversity conservation on those sites (Bhagwat & Rutte, 2006).","Global assessment (1st work programme)",NA,25336,41825
"sacred grove_sua","sacred grove","","A particular type of sacred natural sites represented by patches of forest revered as sacred (Bhagwat & Rutte, 2006). Sacred groves may be revered as burial grounds (Mgumia & Oba, 2003) or sites of ancestral or deity worship (Ramakrishnan et al., 1998). There are locally-established rules that regulate how sacred groves can be used (Hughes & Chandran, 1998). Observation of those rules often contributes to the biodiversity conservation on those sites.","Sustainable use assessment",NA,25336,41826
"sacred natural sites_sua_tca","sacred natural sites","SNS","Areas of land or water that have special spiritual significance to peoples and communities. They consist of natural features, ranging from entire ecosystems, such as mountains, forests or islands, to single natural features such as a tree, spring or boulder, and are very important for the conservation of nature and culture. Sacred natural sites have been managed based on indigenous and local knowledge systems, developed over long periods of time, and are source of cultural identity.","Sustainable use assessment",NA,25337,41827
"sacred natural sites_ga1","sacred natural sites","SNS","Areas of land or water that have special spiritual significance to peoples and communities (Verschuuren et al., 2010). They consist of natural features, ranging from entire ecosystems, such as mountains, forests or islands, to single natural features such as a tree, spring or boulder, and are very important for the conservation of nature and culture. Sacred natural sites have been managed based on indigenous and local knowledge systems, developed over long periods of time, and are source of cultural identity.","Global assessment (1st work programme)",NA,25337,41828
"sacrilegious_apa","sacrilegious","","Involving or committing sacrilege.","Asia-Pacific assessment",NA,25338,41829
"safe trade_ias","safe trade","","export of products that are free from invasive alien species","Invasive alien species assessment",NA,28681,69618
"saffu_tca","saffu","","This principle guides people's lives and impels them to respect and do justice to one's own ayyaana (spirit) and that of other beings (IPBES, 2022b). Origin: Oromo, Ethiopia.","Transformative change assessment",NA,34133,88402
"salinization_apa_ga1","salinization","","The process of increasing the salt content in soil is known as salinization. Salination can be caused by natural processes such as mineral weathering or by the gradual withdrawal of an ocean. It can also come about through artificial processes such as irrigation.","Asia-Pacific assessment, Global assessment (1st work programme)",NA,21750,41830
"salinization_ldr_ama_eca","salinization","","The process of increasing the salt content in soil is known as salinization. Salinization can be caused by natural processes such as mineral weathering or by the gradual withdrawal of an ocean. It can also come about through artificial processes such as irrigation.","Land degradation and restoration assessment, Americas assessment, Europe and Central Asia assessment",NA,21750,16907
"satoyama initiative_apa","satoyama initiative","","A global initiative with the purpose of realizing societies in harmony with nature through the conservation and advancement of socio-ecological production landscapes and seascapes (SEPLS)” around the world.","Asia-Pacific assessment",NA,25339,41831
"satoyama-satoumi_apa","satoyama-satoumi","","Satoyama is the Japanese term for a socio-ecological production landscape (SEPL) represented by a mosaic of different ecosystem types: secondary forests, timber plantations, farmlands, irrigation ponds, and grasslands—along with human settlements. Satoyama is managed through the interaction between ecosystems and humans to create ecosystem services for human well-being. Satoumi refers to Japan's coastal areas where human interaction over time has resulted in a higher degree of productivity and biodiversity. Foundational to both concepts is the positing of a relationship of interaction between humans and their environment, coupled with the notion that properly maintained the relationship is mutually beneficial.","Asia-Pacific assessment",NA,25340,41832
